"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Model_1 - Copy.nlogo"
"Experiment 4"
"08/25/2024 18:20:55:121 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","initial-idea1-holders","initial-idea2-holders","number-of-individuals","average-connections-per-individual","mean-threshold1","mean-threshold2","[step]","count turtles with [ Idea_state = 0 ] / count turtles","count turtles with [ Idea_state = 1 ] / count turtles","count turtles with [ Idea_state = 2 ] / count turtles"
"214","7","7","300","8","0","0.1","70","0","0.5666666666666667","0.43333333333333335"
"211","7","7","300","8","0","0.1","64","0","0.6366666666666667","0.36333333333333334"
"209","7","7","300","8","0","0.1","70","0","0.7833333333333333","0.21666666666666667"
"215","7","7","300","8","0","0.1","63","0","0.49666666666666665","0.5033333333333333"
"208","7","7","300","8","0","0.1","70","0","0.62","0.38"
"217","7","7","300","8","0","0.1","70","0","0.81","0.19"
"212","7","7","300","8","0","0.1","70","0","0.7166666666666667","0.2833333333333333"
"221","7","7","300","8","0","0.1","54","0","0.5","0.5"
"222","7","7","300","8","0","0.1","70","0","0.49666666666666665","0.5033333333333333"
"223","7","7","300","8","0","0.1","70","0","0.7133333333333334","0.2866666666666667"
"219","7","7","300","8","0","0.1","58","0","0.72","0.28"
"224","7","7","300","8","0","0.1","70","0","0.5533333333333333","0.44666666666666666"
"216","7","7","300","8","0","0.1","70","0","0.5833333333333334","0.4166666666666667"
"218","7","7","300","8","0","0.1","70","0","0.5833333333333334","0.4166666666666667"
"220","7","7","300","8","0","0.1","50","0","0.44","0.56"
"226","7","7","300","8","0","0.1","70","0","0.57","0.43"
"225","7","7","300","8","0","0.1","57","0","0.59","0.41"
"228","7","7","300","8","0","0.1","70","0","0.45","0.55"
"229","7","7","300","8","0","0.1","70","0","0.52","0.48"
"227","7","7","300","8","0","0.1","70","0","0.6333333333333333","0.36666666666666664"
"231","7","7","300","8","0","0.1","62","0","0.7666666666666667","0.23333333333333334"
"230","7","7","300","8","0","0.1","70","0","0.64","0.36"
"234","7","7","300","8","0","0.1","70","0","0.8333333333333334","0.16666666666666666"
"232","7","7","300","8","0","0.1","70","0","0.6733333333333333","0.32666666666666666"
"235","7","7","300","8","0","0.1","59","0","0.5","0.5"
"236","7","7","300","8","0","0.1","70","0","0.7366666666666667","0.2633333333333333"
"240","7","7","300","8","0","0.1","53","0","0.6633333333333333","0.33666666666666667"
"237","7","7","300","8","0","0.1","70","0","0.76","0.24"
"241","7","7","300","8","0","0.1","70","0","0.6466666666666666","0.35333333333333333"
"238","7","7","300","8","0","0.1","70","0","0.7666666666666667","0.23333333333333334"
"242","7","7","300","8","0","0.1","70","0","0.5666666666666667","0.43333333333333335"
"233","7","7","300","8","0","0.1","70","0","0.7266666666666667","0.2733333333333333"
"243","7","7","300","8","0","0.1","70","0","0.8233333333333334","0.17666666666666667"
"246","7","7","300","8","0","0.1","58","0","0.72","0.28"
"239","7","7","300","8","0","0.1","53","0","0.8033333333333333","0.19666666666666666"
"248","7","7","300","8","0","0.1","70","0","0.68","0.32"
"247","7","7","300","8","0","0.1","50","0","0.6566666666666666","0.3433333333333333"
"245","7","7","300","8","0","0.1","70","0","0.5933333333333334","0.4066666666666667"
"251","7","7","300","8","0","0.1","52","0","0.5866666666666667","0.41333333333333333"
"249","7","7","300","8","0","0.1","70","0","0.4533333333333333","0.5466666666666666"
"252","7","7","300","8","0","0.1","70","0","0.6233333333333333","0.37666666666666665"
"254","7","7","300","8","0","0.1","65","0","0.5933333333333334","0.4066666666666667"
"250","7","7","300","8","0","0.1","70","0","0.5633333333333334","0.43666666666666665"
"244","7","7","300","8","0","0.1","70","0","0.6766666666666666","0.3233333333333333"
"253","7","7","300","8","0","0.1","70","0","0.6266666666666667","0.37333333333333335"
"256","7","7","300","8","0","0.1","48","0","0.6766666666666666","0.3233333333333333"
"255","7","7","300","8","0","0.1","70","0","0.5733333333333334","0.4266666666666667"
"259","7","7","300","8","0","0.1","70","0","0.7866666666666666","0.21333333333333335"
"258","7","7","300","8","0","0.1","70","0","0.7933333333333333","0.20666666666666667"
"257","7","7","300","8","0","0.1","70","0","0.43","0.57"
"261","7","7","300","8","0","0.1","70","0","0.6","0.4"
"260","7","7","300","8","0","0.1","70","0","0.6133333333333333","0.38666666666666666"
"262","7","7","300","8","0","0.1","70","0","0.5633333333333334","0.43666666666666665"
"263","7","7","300","8","0","0.1","70","0","0.47333333333333333","0.5266666666666666"
"265","7","7","300","8","0","0.1","70","0","0.6866666666666666","0.31333333333333335"
"267","7","7","300","8","0","0.1","70","0","0.6333333333333333","0.36666666666666664"
"264","7","7","300","8","0","0.1","70","0","0.7366666666666667","0.2633333333333333"
"266","7","7","300","8","0","0.1","58","0","0.6566666666666666","0.3433333333333333"
"268","7","7","300","8","0","0.1","70","0","0.7966666666666666","0.20333333333333334"
"270","7","7","300","8","0","0.1","64","0","0.6833333333333333","0.31666666666666665"
"271","7","7","300","8","0","0.1","70","0","0.5833333333333334","0.4166666666666667"
"273","7","7","300","8","0","0.1","70","0","0.71","0.29"
"269","7","7","300","8","0","0.1","70","0","0.6466666666666666","0.35333333333333333"
"272","7","7","300","8","0","0.1","70","0","0.75","0.25"
"276","7","7","300","8","0","0.1","70","0","0.7233333333333334","0.27666666666666667"
"279","7","7","300","8","0","0.1","48","0","0.49666666666666665","0.5033333333333333"
"274","7","7","300","8","0","0.1","70","0.04","0.44333333333333336","0.5166666666666667"
"277","7","7","300","8","0","0.1","70","0","0.72","0.28"
"285","7","7","300","8","0","0.1","44","0","0.5966666666666667","0.4033333333333333"
"275","7","7","300","8","0","0.1","70","0","0.6133333333333333","0.38666666666666666"
"286","7","7","300","8","0","0.1","64","0","0.6233333333333333","0.37666666666666665"
"281","7","7","300","8","0","0.1","38","0","0.67","0.33"
"283","7","7","300","8","0","0.1","70","0","0.6233333333333333","0.37666666666666665"
"282","7","7","300","8","0","0.1","70","0","0.6166666666666667","0.38333333333333336"
"278","7","7","300","8","0","0.1","55","0","0.5633333333333334","0.43666666666666665"
"287","7","7","300","8","0","0.1","70","0","0.58","0.42"
"284","7","7","300","8","0","0.1","45","0","0.6533333333333333","0.3466666666666667"
"288","7","7","300","8","0","0.1","70","0","0.59","0.41"
"291","7","7","300","8","0","0.1","70","0","0.6466666666666666","0.35333333333333333"
"292","7","7","300","8","0","0.1","70","0","0.48333333333333334","0.5166666666666667"
"289","7","7","300","8","0","0.1","70","0","0.5933333333333334","0.4066666666666667"
