mean-threshold1,mean-threshold2,[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
0.3,0.4,13450.5,5.0,5.0,300.0,8.0,21.06,0.91550000017,0.06710000021,0.017400000250000002
0.3,0.45,13550.5,5.0,5.0,300.0,8.0,24.72,0.88193333351,0.10280000019,0.01526666692
0.3,0.5,13650.5,5.0,5.0,300.0,8.0,25.71,0.85663333351,0.12843333349,0.01493333358
0.3,0.55,13750.5,5.0,5.0,300.0,8.0,23.67,0.89126666684,0.09333333351,0.015400000249999999
0.3,0.6,13850.5,5.0,5.0,300.0,8.0,23.64,0.8782000002000001,0.10643333353,0.01536666692
0.3,0.65,13950.5,5.0,5.0,300.0,8.0,24.1,0.88943333346,0.09503333351,0.01553333358
0.3,0.7,14050.5,5.0,5.0,300.0,8.0,26.11,0.86903333342,0.11620000017000001,0.014766666900000001
0.3,0.75,14150.5,5.0,5.0,300.0,8.0,22.15,0.9143333335300001,0.0698666669,0.01580000029
0.3,0.8,14250.5,5.0,5.0,300.0,8.0,21.99,0.9067666668700001,0.07746666688,0.015766666949999997
0.3,0.85,14350.5,5.0,5.0,300.0,8.0,22.25,0.89803333349,0.08633333355,0.015633333620000002
0.3,0.9,14450.5,5.0,5.0,300.0,8.0,24.06,0.88493333347,0.09980000017,0.01526666696
0.3,0.95,14550.5,5.0,5.0,300.0,8.0,24.01,0.8893333334900001,0.09536666689000001,0.01530000026
0.3,1.0,14650.5,5.0,5.0,300.0,8.0,23.43,0.9038333335100001,0.08073333354000001,0.015433333599999998
0.35,0.0,14750.5,5.0,5.0,300.0,8.0,46.22,3.333333e-05,0.00046666667,0.9995
0.35,0.05,14850.5,5.0,5.0,300.0,8.0,43.25,0.0,0.0,1.0
0.35,0.1,14950.5,5.0,5.0,300.0,8.0,42.88,6.666667000000001e-05,0.00033333333,0.9995999999999999
0.35,0.15,15050.5,5.0,5.0,300.0,8.0,48.77,0.00083333333,0.0019,0.9972666666700001
0.35,0.2,15150.5,5.0,5.0,300.0,8.0,52.92,0.01539999999,0.0025333333199999996,0.98206666665
0.35,0.25,15250.5,5.0,5.0,300.0,8.0,46.19,0.41000000004,0.01210000006,0.57790000004
0.35,0.3,15350.5,5.0,5.0,300.0,8.0,22.34,0.9071000001200001,0.023766666869999998,0.06913333355
0.35,0.35,15450.5,5.0,5.0,300.0,8.0,20.16,0.95813333356,0.02113333361,0.02073333359
0.35,0.4,15550.5,5.0,5.0,300.0,8.0,19.36,0.95966666689,0.023433333579999997,0.01690000031
0.35,0.45,15650.5,5.0,5.0,300.0,8.0,19.41,0.96136666688,0.021866666920000003,0.01676666696
0.35,0.5,15750.5,5.0,5.0,300.0,8.0,19.09,0.9611333335400001,0.02210000027,0.01676666698
0.35,0.55,15850.5,5.0,5.0,300.0,8.0,19.48,0.9570000001700001,0.026433333550000004,0.016566666969999998
0.35,0.6,15950.5,5.0,5.0,300.0,8.0,19.48,0.96126666691,0.02220000027,0.016533333639999998
0.35,0.65,16050.5,5.0,5.0,300.0,8.0,19.0,0.96450000024,0.01880000025,0.01670000033
0.35,0.7,16150.5,5.0,5.0,300.0,8.0,19.8,0.95916666689,0.02440000026,0.01643333362
0.35,0.75,16250.5,5.0,5.0,300.0,8.0,19.5,0.95600000024,0.02750000026,0.016500000299999998
0.35,0.8,16350.5,5.0,5.0,300.0,8.0,19.57,0.9621666669300001,0.021266666939999998,0.01656666698
0.35,0.85,16450.5,5.0,5.0,300.0,8.0,19.43,0.95850000022,0.025000000239999997,0.01650000031
0.35,0.9,16550.5,5.0,5.0,300.0,8.0,19.03,0.9636333335900001,0.01973333362,0.01663333366
0.35,0.95,16650.5,5.0,5.0,300.0,8.0,19.26,0.9593333335700001,0.024066666940000002,0.01660000032
0.35,1.0,16750.5,5.0,5.0,300.0,8.0,19.01,0.9641333335900001,0.01926666693,0.01660000032
0.4,0.0,16850.5,5.0,5.0,300.0,8.0,43.46,0.00066666667,0.0,0.99933333333
0.4,0.05,16950.5,5.0,5.0,300.0,8.0,44.83,0.0,0.0,1.0
0.4,0.1,17050.5,5.0,5.0,300.0,8.0,43.07,0.0,0.0,1.0
0.4,0.15,17150.5,5.0,5.0,300.0,8.0,45.98,0.00033333333,0.0,0.99966666667
0.4,0.2,17250.5,5.0,5.0,300.0,8.0,48.79,0.021433333330000002,0.00093333334,0.97763333335
0.4,0.25,17350.5,5.0,5.0,300.0,8.0,42.08,0.43166666671000004,0.00873333344,0.55960000009
0.4,0.3,17450.5,5.0,5.0,300.0,8.0,24.47,0.88803333351,0.01620000018,0.09576666687999999
0.4,0.35,17550.5,5.0,5.0,300.0,8.0,19.4,0.96140000021,0.01713333362,0.02146666694
0.4,0.4,17650.5,5.0,5.0,300.0,8.0,19.0,0.96563333359,0.01723333364,0.01713333365
0.4,0.45,17750.5,5.0,5.0,300.0,8.0,19.0,0.9661333336200001,0.01703333363,0.01683333366
0.4,0.5,17850.5,5.0,5.0,300.0,8.0,19.08,0.9654000002600001,0.01776666695,0.01683333364
0.4,0.55,17950.5,5.0,5.0,300.0,8.0,19.53,0.96610000028,0.017166666980000002,0.01673333365
0.4,0.6,18050.5,5.0,5.0,300.0,8.0,19.0,0.96550000025,0.01786666696,0.01663333366
0.4,0.65,18150.5,5.0,5.0,300.0,8.0,19.0,0.9659000003,0.01743333365,0.016666667
0.4,0.7,18250.5,5.0,5.0,300.0,8.0,19.04,0.96490000028,0.01833333364,0.016766666989999998
0.4,0.75,18350.5,5.0,5.0,300.0,8.0,19.0,0.9648000002900001,0.01853333362,0.016666667
0.4,0.8,18450.5,5.0,5.0,300.0,8.0,19.0,0.9662000002800001,0.0171000003,0.01670000033
0.4,0.85,18550.5,5.0,5.0,300.0,8.0,19.14,0.9643000002600001,0.01910000027,0.01660000032
0.4,0.9,18650.5,5.0,5.0,300.0,8.0,19.17,0.96563333364,0.01773333364,0.01663333366
0.4,0.95,18750.5,5.0,5.0,300.0,8.0,19.07,0.96590000031,0.01746666698,0.01663333366
0.4,1.0,18850.5,5.0,5.0,300.0,8.0,19.0,0.96596666697,0.01736666698,0.016666667
0.45,0.0,18950.5,5.0,5.0,300.0,8.0,42.62,3.333333e-05,0.0,0.99996666667
0.45,0.05,19050.5,5.0,5.0,300.0,8.0,42.74,0.0,0.0,1.0
0.45,0.1,19150.5,5.0,5.0,300.0,8.0,44.31,0.0,0.0,1.0
0.45,0.15,19250.5,5.0,5.0,300.0,8.0,45.48,0.0004,0.0,0.9995999999999999
0.45,0.2,19350.5,5.0,5.0,300.0,8.0,48.4,0.032166666680000004,0.0007000000100000001,0.9671333333500001
0.45,0.25,19450.5,5.0,5.0,300.0,8.0,41.55,0.42423333337999997,0.00786666674,0.5679000001
0.45,0.3,19550.5,5.0,5.0,300.0,8.0,23.11,0.89633333347,0.01566666687,0.08800000017000001
0.45,0.35,19650.5,5.0,5.0,300.0,8.0,19.58,0.95830000023,0.01680000028,0.024900000250000002
0.45,0.4,19750.5,5.0,5.0,300.0,8.0,19.37,0.9650000002600001,0.01680000031,0.018200000299999998
0.45,0.45,19850.5,5.0,5.0,300.0,8.0,19.0,0.9663666669500001,0.016733333660000002,0.01690000031
0.45,0.5,19950.5,5.0,5.0,300.0,8.0,19.0,0.96626666695,0.01696666698,0.016766666989999998
0.45,0.55,20050.5,5.0,5.0,300.0,8.0,19.0,0.9660333336000001,0.017066666969999998,0.01690000033
0.45,0.6,20150.5,5.0,5.0,300.0,8.0,19.0,0.96586666698,0.01746666698,0.016666667
0.45,0.65,20250.5,5.0,5.0,300.0,8.0,19.0,0.96646666697,0.01686666698,0.016666667
0.45,0.7,20350.5,5.0,5.0,300.0,8.0,19.0,0.9661666669500001,0.01716666697,0.016666667
0.45,0.75,20450.5,5.0,5.0,300.0,8.0,19.0,0.9664333336500001,0.01690000032,0.016666667
0.45,0.8,20550.5,5.0,5.0,300.0,8.0,19.0,0.96610000031,0.01720000032,0.01670000033
0.45,0.85,20650.5,5.0,5.0,300.0,8.0,19.0,0.96643333363,0.01690000031,0.016666667
0.45,0.9,20750.5,5.0,5.0,300.0,8.0,19.05,0.9664000003000001,0.01696666698,0.01663333366
0.45,0.95,20850.5,5.0,5.0,300.0,8.0,19.0,0.96646666698,0.01683333366,0.01670000033
0.45,1.0,20950.5,5.0,5.0,300.0,8.0,19.0,0.9665000003,0.01683333365,0.016666667
0.5,0.0,21050.5,5.0,5.0,300.0,8.0,40.13,0.0,0.0,1.0
0.5,0.05,21150.5,5.0,5.0,300.0,8.0,43.82,0.0,0.0,1.0
0.5,0.1,21250.5,5.0,5.0,300.0,8.0,45.34,6.666667000000001e-05,0.0,0.99993333333
