threshold-idea1,threshold-idea2,[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
0.35,1.0,16750.5,14.0,14.0,300.0,8.0,8.72,0.8802000001499999,0.07470000013,0.04510000024
0.4,0.0,16850.5,14.0,14.0,300.0,8.0,38.12,0.0,6.666666e-05,0.99993333334
0.4,0.05,16950.5,14.0,14.0,300.0,8.0,37.1,3.333333e-05,0.0,0.99996666667
0.4,0.1,17050.5,14.0,14.0,300.0,8.0,39.08,6.666666e-05,0.00026666666,0.99966666668
0.4,0.15,17150.5,14.0,14.0,300.0,8.0,41.11,0.00066666667,0.00029999999,0.99903333334
0.4,0.2,17250.5,14.0,14.0,300.0,8.0,44.63,0.00833333333,0.00223333332,0.98943333336
0.4,0.25,17350.5,14.0,14.0,300.0,8.0,43.89,0.22883333332,0.014733333290000001,0.7564333333400001
0.4,0.3,17450.5,14.0,14.0,300.0,8.0,19.44,0.71376666671,0.04166666677,0.24456666676000002
0.4,0.35,17550.5,14.0,14.0,300.0,8.0,9.23,0.87816666677,0.0497333335,0.07210000013000001
0.4,0.4,17650.5,14.0,14.0,300.0,8.0,5.79,0.90030000015,0.0499000002,0.049800000239999996
0.4,0.45,17750.5,14.0,14.0,300.0,8.0,5.27,0.90153333343,0.05050000022,0.04796666689
0.4,0.5,17850.5,14.0,14.0,300.0,8.0,5.09,0.90343333351,0.049900000230000005,0.04666666697
0.4,0.55,17950.5,14.0,14.0,300.0,8.0,5.53,0.90220000015,0.05113333354,0.04666666696
0.4,0.6,18050.5,14.0,14.0,300.0,8.0,5.47,0.9032000001999999,0.05003333358,0.046766666930000006
0.4,0.65,18150.5,14.0,14.0,300.0,8.0,5.27,0.90396666685,0.0495000002,0.04653333364
0.4,0.7,18250.5,14.0,14.0,300.0,8.0,5.93,0.90313333353,0.0503666669,0.04650000029
0.4,0.75,18350.5,14.0,14.0,300.0,8.0,5.8,0.90270000024,0.050866666910000004,0.04643333363
0.4,0.8,18450.5,14.0,14.0,300.0,8.0,5.66,0.90133333353,0.052233333560000005,0.04643333363
0.4,0.85,18550.5,14.0,14.0,300.0,8.0,5.4,0.9013000001899999,0.05216666687,0.04653333364
0.4,0.9,18650.5,14.0,14.0,300.0,8.0,5.38,0.90340000024,0.05010000025,0.046500000300000004
0.4,0.95,18750.5,14.0,14.0,300.0,8.0,5.28,0.9041000002199999,0.04940000026,0.046500000310000004
0.4,1.0,18850.5,14.0,14.0,300.0,8.0,5.1,0.9030666669199999,0.0503333336,0.04660000032
0.45,0.0,18950.5,14.0,14.0,300.0,8.0,37.13,0.0,0.0,1.0
0.45,0.05,19050.5,14.0,14.0,300.0,8.0,37.13,3.333333e-05,0.0,0.99996666667
0.45,0.1,19150.5,14.0,14.0,300.0,8.0,36.91,0.0,3.333333e-05,0.99996666667
0.45,0.15,19250.5,14.0,14.0,300.0,8.0,39.16,0.0005,6.666666e-05,0.9994333333400001
0.45,0.2,19350.5,14.0,14.0,300.0,8.0,43.09,0.013366666669999997,0.00086666664,0.98576666668
0.45,0.25,19450.5,14.0,14.0,300.0,8.0,38.5,0.26389999999,0.01576666668,0.72033333338
0.45,0.3,19550.5,14.0,14.0,300.0,8.0,18.4,0.74006666664,0.040500000089999995,0.21943333339999999
0.45,0.35,19650.5,14.0,14.0,300.0,8.0,7.98,0.88156666674,0.046733333550000006,0.07170000009
0.45,0.4,19750.5,14.0,14.0,300.0,8.0,6.17,0.90066666679,0.048633333529999996,0.050700000190000004
0.45,0.45,19850.5,14.0,14.0,300.0,8.0,6.51,0.90236666683,0.049633333560000006,0.04800000022
0.45,0.5,19950.5,14.0,14.0,300.0,8.0,5.26,0.90536666686,0.047866666919999995,0.04676666697
0.45,0.55,20050.5,14.0,14.0,300.0,8.0,5.0,0.90476666684,0.04826666691,0.04696666699
0.45,0.6,20150.5,14.0,14.0,300.0,8.0,5.23,0.90533333356,0.04806666692,0.04660000031
0.45,0.65,20250.5,14.0,14.0,300.0,8.0,5.3,0.9039333335499999,0.049366666930000004,0.046700000309999996
0.45,0.7,20350.5,14.0,14.0,300.0,8.0,5.01,0.9051333335799999,0.04813333360000001,0.04673333365000001
0.45,0.75,20450.5,14.0,14.0,300.0,8.0,5.74,0.9050000002099999,0.048433333579999995,0.046566666980000004
0.45,0.8,20550.5,14.0,14.0,300.0,8.0,5.0,0.9052666669,0.04806666693,0.046666667
0.45,0.85,20650.5,14.0,14.0,300.0,8.0,5.11,0.90516666692,0.048233333590000003,0.04660000032
0.45,0.9,20750.5,14.0,14.0,300.0,8.0,5.54,0.9049000002200001,0.048533333570000003,0.046566666980000004
0.45,0.95,20850.5,14.0,14.0,300.0,8.0,5.0,0.90540000022,0.04793333359,0.046666667
0.45,1.0,20950.5,14.0,14.0,300.0,8.0,5.0,0.90530000022,0.04803333361,0.046666667
0.5,0.0,21050.5,14.0,14.0,300.0,8.0,37.25,0.00023333333000000002,3.333333e-05,0.99973333333
0.5,0.05,21150.5,14.0,14.0,300.0,8.0,38.49,6.666666e-05,3.333333e-05,0.99990000001
0.5,0.1,21250.5,14.0,14.0,300.0,8.0,36.67,0.00033333333,0.0001,0.9995666666699999
0.5,0.15,21350.5,14.0,14.0,300.0,8.0,38.65,0.0,0.0,1.0
0.5,0.2,21450.5,14.0,14.0,300.0,8.0,42.78,0.00583333334,0.00056666665,0.99360000002
0.5,0.25,21550.5,14.0,14.0,300.0,8.0,40.87,0.24063333335,0.013900000030000002,0.7454666666800001
0.5,0.3,21650.5,14.0,14.0,300.0,8.0,17.65,0.74730000005,0.03943333344,0.21326666672000003
0.5,0.35,21750.5,14.0,14.0,300.0,8.0,7.91,0.8833000001399999,0.045833333569999996,0.07086666678
0.5,0.4,21850.5,14.0,14.0,300.0,8.0,6.0,0.9007333335500001,0.04636666693,0.05290000022
0.5,0.45,21950.5,14.0,14.0,300.0,8.0,5.17,0.90403333351,0.0470000003,0.048966666879999995
0.5,0.5,22050.5,14.0,14.0,300.0,8.0,5.36,0.9061666669499999,0.047066666970000004,0.04676666697
0.5,0.55,22150.5,14.0,14.0,300.0,8.0,5.0,0.9062000002799999,0.04700000031,0.04680000032000001
0.5,0.6,22250.5,14.0,14.0,300.0,8.0,5.0,0.90620000026,0.0470000003,0.04680000032000001
0.5,0.65,22350.5,14.0,14.0,300.0,8.0,5.0,0.90613333364,0.047133333650000005,0.04673333366000001
0.5,0.7,22450.5,14.0,14.0,300.0,8.0,5.01,0.9065000003,0.04676666698,0.04673333366000001
0.5,0.75,22550.5,14.0,14.0,300.0,8.0,5.0,0.90633333365,0.04700000032,0.046666667
0.5,0.8,22650.5,14.0,14.0,300.0,8.0,5.0,0.90593333361,0.047366666960000005,0.04670000033
0.5,0.85,22750.5,14.0,14.0,300.0,8.0,5.0,0.9063333336299999,0.04696666698,0.04670000033
0.5,0.9,22850.5,14.0,14.0,300.0,8.0,5.0,0.9064000002899999,0.04693333364,0.046666667
0.5,0.95,22950.5,14.0,14.0,300.0,8.0,5.16,0.9063666669699999,0.04703333364000001,0.04660000032
0.5,1.0,23050.5,14.0,14.0,300.0,8.0,5.0,0.90650000031,0.04683333365,0.046666667
0.55,0.0,23150.5,14.0,14.0,300.0,8.0,35.9,0.0,0.0,1.0
0.55,0.05,23250.5,14.0,14.0,300.0,8.0,37.44,0.0,0.0,1.0
0.55,0.1,23350.5,14.0,14.0,300.0,8.0,37.2,6.666666e-05,3.333333e-05,0.99990000001
0.55,0.15,23450.5,14.0,14.0,300.0,8.0,40.13,0.0,9.999998999999999e-05,0.99990000001
0.55,0.2,23550.5,14.0,14.0,300.0,8.0,41.98,0.01056666666,0.00089999999,0.9885333333399999
0.55,0.25,23650.5,14.0,14.0,300.0,8.0,41.06,0.24509999999,0.01383333334,0.7410666666900001
0.55,0.3,23750.5,14.0,14.0,300.0,8.0,20.53,0.723,0.03736666681,0.23963333332
0.55,0.35,23850.5,14.0,14.0,300.0,8.0,6.92,0.88166666676,0.046100000220000006,0.07223333341
0.55,0.4,23950.5,14.0,14.0,300.0,8.0,5.07,0.9032333335699999,0.04676666697,0.05000000024
0.55,0.45,24050.5,14.0,14.0,300.0,8.0,5.5,0.90410000016,0.047033333620000006,0.04886666689
0.55,0.5,24150.5,14.0,14.0,300.0,8.0,5.18,0.9062000002799999,0.047066666980000005,0.046733333640000006
0.55,0.55,24250.5,14.0,14.0,300.0,8.0,5.1,0.90616666694,0.04690000031,0.04693333364
0.55,0.6,24350.5,14.0,14.0,300.0,8.0,5.22,0.9063666669599999,0.0469000003,0.04673333365000001
0.55,0.65,24450.5,14.0,14.0,300.0,8.0,5.0,0.90646666697,0.04686666698,0.046666667
0.55,0.7,24550.5,14.0,14.0,300.0,8.0,5.0,0.9065000003199999,0.04683333365,0.046666667
0.55,0.75,24650.5,14.0,14.0,300.0,8.0,5.0,0.90660000032,0.04673333366000001,0.046666667
