[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,threshold-idea1,threshold-idea2,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
304,7,7,300,8,0,0.15,48,0,0.876666667,0.123333333
305,7,7,300,8,0,0.15,70,0,0.796666667,0.203333333
306,7,7,300,8,0,0.15,54,0,1,0
307,7,7,300,8,0,0.15,70,0,0.996666667,0.003333333
308,7,7,300,8,0,0.15,51,0,0.786666667,0.213333333
309,7,7,300,8,0,0.15,44,0,0.903333333,0.096666667
310,7,7,300,8,0,0.15,33,0,0.893333333,0.106666667
311,7,7,300,8,0,0.15,59,0,0.756666667,0.243333333
312,7,7,300,8,0,0.15,61,0,0.78,0.22
313,7,7,300,8,0,0.15,70,0,0.993333333,0.006666667
314,7,7,300,8,0,0.15,70,0,0.716666667,0.283333333
315,7,7,300,8,0,0.15,57,0,0.906666667,0.093333333
316,7,7,300,8,0,0.15,53,0,0.946666667,0.053333333
317,7,7,300,8,0,0.15,70,0,0.913333333,0.086666667
318,7,7,300,8,0,0.15,70,0,0.926666667,0.073333333
319,7,7,300,8,0,0.15,70,0,0.94,0.06
320,7,7,300,8,0,0.15,70,0,0.81,0.19
321,7,7,300,8,0,0.15,70,0,0.853333333,0.146666667
322,7,7,300,8,0,0.15,70,0,0.846666667,0.153333333
323,7,7,300,8,0,0.15,70,0,0.87,0.13
324,7,7,300,8,0,0.15,70,0,0.89,0.11
325,7,7,300,8,0,0.15,70,0,0.796666667,0.203333333
326,7,7,300,8,0,0.15,66,0,0.753333333,0.246666667
327,7,7,300,8,0,0.15,70,0,0.996666667,0.003333333
328,7,7,300,8,0,0.15,64,0,0.966666667,0.033333333
329,7,7,300,8,0,0.15,57,0,0.83,0.17
330,7,7,300,8,0,0.15,29,0,0.72,0.28
331,7,7,300,8,0,0.15,70,0,0.806666667,0.193333333
332,7,7,300,8,0,0.15,70,0,0.74,0.26
333,7,7,300,8,0,0.15,63,0,0.753333333,0.246666667
334,7,7,300,8,0,0.15,60,0,0.92,0.08
335,7,7,300,8,0,0.15,70,0,0.86,0.14
336,7,7,300,8,0,0.15,41,0,0.936666667,0.063333333
337,7,7,300,8,0,0.15,70,0,0.993333333,0.006666667
338,7,7,300,8,0,0.15,57,0,0.803333333,0.196666667
339,7,7,300,8,0,0.15,36,0,0.906666667,0.093333333
340,7,7,300,8,0,0.15,70,0,0.92,0.08
341,7,7,300,8,0,0.15,51,0,0.933333333,0.066666667
342,7,7,300,8,0,0.15,70,0,0.933333333,0.066666667
343,7,7,300,8,0,0.15,59,0,0.973333333,0.026666667
344,7,7,300,8,0,0.15,70,0,0.953333333,0.046666667
345,7,7,300,8,0,0.15,46,0,0.763333333,0.236666667
346,7,7,300,8,0,0.15,61,0,0.966666667,0.033333333
347,7,7,300,8,0,0.15,49,0,0.816666667,0.183333333
348,7,7,300,8,0,0.15,27,0,0.846666667,0.153333333
349,7,7,300,8,0,0.15,70,0,0.936666667,0.063333333
350,7,7,300,8,0,0.15,41,0,0.89,0.11
351,7,7,300,8,0,0.15,63,0,1,0
352,7,7,300,8,0,0.15,52,0,0.883333333,0.116666667
353,7,7,300,8,0,0.15,70,0,0.926666667,0.073333333
354,7,7,300,8,0,0.15,70,0,0.8,0.2
355,7,7,300,8,0,0.15,53,0,0.846666667,0.153333333
356,7,7,300,8,0,0.15,70,0,0.85,0.15
357,7,7,300,8,0,0.15,65,0,0.786666667,0.213333333
358,7,7,300,8,0,0.15,70,0,0.92,0.08
359,7,7,300,8,0,0.15,67,0,0.886666667,0.113333333
360,7,7,300,8,0,0.15,66,0,0.943333333,0.056666667
361,7,7,300,8,0,0.15,70,0,0.663333333,0.336666667
362,7,7,300,8,0,0.15,65,0,0.796666667,0.203333333
363,7,7,300,8,0,0.15,20,0,0.8,0.2
364,7,7,300,8,0,0.15,70,0,0.956666667,0.043333333
365,7,7,300,8,0,0.15,51,0,0.916666667,0.083333333
366,7,7,300,8,0,0.15,37,0.003333333,0.873333333,0.123333333
367,7,7,300,8,0,0.15,67,0,0.873333333,0.126666667
368,7,7,300,8,0,0.15,62,0,0.92,0.08
369,7,7,300,8,0,0.15,67,0,1,0
370,7,7,300,8,0,0.15,48,0,0.833333333,0.166666667
371,7,7,300,8,0,0.15,52,0,1,0
372,7,7,300,8,0,0.15,70,0,0.973333333,0.026666667
373,7,7,300,8,0,0.15,70,0,0.986666667,0.013333333
